Rank,Name,Type,Tags
8920,Barnacle Lou,TV,sliceoflife animalprotagonists birds familyfriendly koreananimation non-humanprotagonists shortepisodes cganimation
8924,Cyborg 009: The Cyborg Soldier,TV,action adventure scifi shounen cyborgs superheroes basedonamanga shotaroishinomori
8925,Celestial Method,TV,drama fantasy sliceoflife originalwork
8926,Medabots Damashii,TV,scifi proxybattles basedonavideogame
8927,Sofy Soft Tampon: Drive Ryokou-hen,Other,sliceoflife commercials promotional
8929,Shikisai Manga no Dekiru Made,Movie,shorts
8931,Let's Make a Mug Too,TV,sliceoflife art deathofalovedone schoolclub basedonamanga
8932,Encouragement of Climb,TV,adventure seinen sliceoflife childhoodfriends iyashikei mountainclimbing shortepisodes thegreatoutdoors basedonamanga siro
8933,The Journey Home,TV,adventure animalprotagonists anthropomorphic familyfriendly insects non-humanprotagonists outerspace cganimation originalwork
8934,"Ganbare, Douki-chan",Web,comedy ecchi romance sliceoflife coworkers romanticcomedy senpai-kouhairelationship shortepisodes worklife basedonadoujinshi yomu
8935,Rilakkuma: Kyou mo Pukapuka Dararakko,Web,animalprotagonists bears nodialogue non-humanprotagonists promotional san-xcharacters shorts
8936,Rilakkuma: Motto Nonbiri Neko,Web,animalprotagonists bears cats nodialogue non-humanprotagonists promotional san-xcharacters shorts
8937,Shi Xiong,Web,action comedy horror chineseanimation shortepisodes supernatural zombies basedonamanga violence qiduyu
8938,Kero Kero Chime,TV,comedy fantasy familyfriendly personinastrangeworld magurofujita
8939,Hello! Sandybell,TV,adventure england europe familyfriendly originalwork
8940,Nekomonogatari (Black) Recap,DVD S,recap basedonalightnovel
8941,Sindbad no Bouken,TV,adventure desert familyfriendly middleeastern
8942,The Demon Girl Next Door Mini,Web,comedy chibi demons shortepisodes flashanimation
8944,Glassy Ocean,Movie,adventure fantasy familyfriendly shorts originalwork
8946,Imokawa Mukuzo: Genkanban no Maki,Movie,blackandwhite shorts
8947,Kankou Taisen Saitama: Sakuya no Tatakai,Web,promotional shortepisodes
8948,To Heart 2,TV,romance schoollife basedonaneroge basedonavisualnovel
8949,Bannertail: The Story of Gray Squirrel,TV,animalprotagonists countryside episodic familyfriendly forest non-humanprotagonists basedonanovel
8950,Appleseed XIII Movie 2: Ouranos,Movie,action scifi seinen cyberpunk cyborgs police recap terrorism basedonamanga cganimation
8952,Panpaka Pants O New!,TV,comedy animalprotagonists anthropomorphic non-humanprotagonists pigs shortepisodes
8958,Chou Seimeitai Transformers: Beast Wars Neo,TV,action mecha scifi non-humanprotagonists robots sentientmecha superrobot transformingmecha war
8959,Denshinbashira Elemi no Koi,Movie,drama fantasy romance originalwork
8960,Mashin Eiyuuden Wataru 2,TV,scifi
8961,Ah My Buddha!! Don't Rest!!,DVD S,comedy ecchi seinen buddhism basedonamanga nudity toshinorisogabe
8962,Pokemon Movie 22: Mewtwo Strikes Back Evolution,Movie,adventure fantasy shounen elementalpowers familyfriendly monsters basedonavideogame cganimation
8964,Kyoro-chan,TV,comedy animalprotagonists birds gag non-humanprotagonists satire
8966,Pipopapo Patrol-kun,TV,adventure cars episodic familyfriendly police shortepisodes originalwork toeianimation
8967,"Neko mo, Ondake",TV,sliceoflife cats familylife historical island shortepisodes basedonamanga radiowada
8968,Itsumo Kokoro ni Ho,Web,comedy sliceoflife nodialogue shorts
8970,Pokemon: Pikachu's Big Mysterious Adventure,Other,fantasy animalprotagonists familyfriendly monsters non-humanprotagonists basedonavideogame
8971,Wild Knights Gulkeeva,TV,action reincarnation
8973,Channeler,Movie,shorts
8974,Poccolies,TV,comedy animalprotagonists anthropomorphic non-humanprotagonists shortepisodes
8975,"Good-bye, Cramer Mini Anime",Web,comedy shounen sports chibi shortepisodes
8976,Sekai Monoshiri Ryoko,TV,adventure comedy blackandwhite educational familyfriendly shortepisodes
8978,Fatal Fury: The Motion Picture,Movie,action handtohandcombat martialarts basedonavideogame
8979,Mini Vanguard,TV,comedy chibi parody shortepisodes basedonacardgame flashanimation
8980,Beast Wars II Chou Seimeitai Transformers,TV,action mecha scifi non-humanprotagonists robots sentientmecha superrobot transformingmecha war
8982,Air Bound,Movie,adventure animalprotagonists familyfriendly non-humanprotagonists cganimation
8984,Huckleberry no Bouken,TV,adventure 19thcentury america countryside historical basedonanovel
8987,Asa da yo! Kaishain,TV,comedy animalprotagonists anthropomorphic non-humanprotagonists shortepisodes worklife originalwork
8989,Shiguang Guiyu,Web,chineseanimation supernatural
8991,Ninja Scroll BURST,Web,ninja promotional
8992,Horizon in the Middle of Nowhere: Kyokutou Naruhodo Kouza,Other,comedy fantasy chibi shortepisodes basedonalightnovel
8993,Ijiwaru Baa-san,TV,comedy neighbors basedona4-komamanga basedonamanga machikohasegawa
8995,Akai Koudan Zillion Specials,DVD S,action guns
8996,Perman (1983),TV,comedy shounen superheroes superpowers basedonamanga
8998,Kimoshiba,TV,comedy sliceoflife animalprotagonists dogs non-humanprotagonists shortepisodes supernatural
8999,Mizu no Tane,Movie,fantasy shorts basedonafairytale
9002,Spirit of Wonder: Miss China's Ring,Movie,fantasy seinen 19thcentury boardinghouse england europe historical neighbors basedonamanga kenjitsuruta
9003,Ichiban Chikakute Tooi Hoshi,Web,drama shorts
9005,The Gift,Other,adventure fantasy familyfriendly personinastrangeworld shorts cganimation originalwork
9007,Gekidan Nanatsu no Taizai,Web,comedy fantasy chibi parody shortepisodes
9008,Hatsukoi Limited: Limited Girl,DVD S,comedy shounen schoollife basedonamanga
9009,Usamaru,Web,comedy sliceoflife animalprotagonists anthropomorphic nodialogue non-humanprotagonists rabbits shortepisodes
9013,Chainsaw Bunny: Deleted Scene,Web,horror shorts
9015,Dr. Slump Movie 1: Hello! Wonderland,Movie,adventure comedy scifi shounen basedonamanga akiratoriyama
9017,Tono to Issho 2,TV,comedy seinen feudaljapan historical parody shortepisodes basedonamanga
9018,Prefectural Earth Defense Force,Movie,action comedy scifi shounen cyborgs parody schoollife basedonamanga kouichirouyasunaga
9019,Mori no Kokoro-Koro,Other,fantasy commercials promotional
9020,Kamen Rider Zero-One Short Anime: Everyone's Daily Life,Web,comedy sliceoflife chibi henshinheroes shortepisodes basedonatvseries
9022,Dame Oyaji,TV,action comedy drama shounen sliceoflife basedonamanga
9025,Star Ocean EX,TV,adventure fantasy scifi magic personinastrangeworld basedonavideogame
9026,Fist of the Blue Sky Specials,DVD S,action martialarts
9028,Horizon in the Middle of Nowhere Special,DVD S,basedonalightnovel
9029,Overlord Movie: Manner Movie,Other,comedy shorts kuganemaruyama
9031,Working'!! Announcement Specials,Web,comedy shortepisodes
9032,Jewelpet,TV,fantasy animalprotagonists familyfriendly non-humanprotagonists sanriocharacters originalwork
9034,Enoshimans Spin-off: Kurage no Soudan,Other,animalprotagonists educational non-humanprotagonists ocean promotional shortepisodes originalwork
9035,Warau kumo,Movie,abstract nodialogue shorts
9036,Ikinuke! Bakusou! Kusohamu-chan! Episode 0,Web,comedy animalprotagonists hamsters non-humanprotagonists shorts basedona4-komamanga basedonamanga
9037,A Tree of Palme,Movie,adventure fantasy non-humanprotagonists robots basedonanovel
9038,Space Pirate Mito Pilot,DVD S,comedy scifi spacepirates originalwork
9039,Guardian Ninja Mamoru!,TV,action comedy childhoodfriends ninja basedonalightnovel
9040,77 Danui Bimil,Movie,action drama koreananimation basedonanovel
9044,Mori no Ongakukai,Movie,animalprotagonists blackandwhite forest non-humanprotagonists shorts originalwork
9046,AMAIM Warrior at the Borderline,TV,mecha scifi war originalwork
9047,Earl and Fairy Specials,DVD S,fantasy chibi basedonalightnovel
9048,Galactic Gale Baxinger,TV,action adventure mecha scifi motorcycles originalwork
9049,"Oam Monogatari: Sono Natsu, Watashi ga Shitta Koto",Web,historical promotional shorts tourism basedonanovel
9050,Grimgar of Fantasy and Ash Special,DVD S,comedy ecchi fantasy isekai mmorpg personinastrangeworld rpg basedonalightnovel
9051,Final Approach,TV,comedy romance shortepisodes basedonavisualnovel
9053,Nana Seven of Seven: Shougatsu Da yo! 7 x 7 = 49-nin no Nana?,Other,shounen basedonamanga
9054,Getter Robo G,TV,action mecha scifi combiningmecha superrobot basedonamanga
9055,Shounen Ninja Kaze no Fujimaru,TV,action adventure shounen blackandwhite ninja
9056,Sakura Wars: The Movie,Movie,action scifi historical powersuits basedonavisualnovel violence
9057,The Magnificent KOTOBUKI,TV,action adventure drama aviation bodyguards cganimation originalwork
9058,Hong Mao Lan Tu: Kaixin Yike,TV,chineseanimation familyfriendly
9059,Katte ni Kaizou Specials,DVD S,recap koujikumeta
9061,Aoi Blink,TV,adventure fantasy familyfriendly basedonanovel
9062,High School! Kimengumi,TV,comedy shounen schoollife basedonamanga motoeishinzawa
9065,Magical Angel Sweet Mint,TV,magicalgirl familyfriendly henshinheroes magic originalwork
9066,Shoujo Conto All Starlight,Web,comedy chibi shortepisodes showbiz originalwork
9070,Pororo the Little Penguin 3,TV,fantasy sliceoflife animalprotagonists anthropomorphic birds koreananimation non-humanprotagonists penguins shortepisodes cganimation
9071,Tayo the Little Bus Movie: Mission Ace,Movie,cars familyfriendly koreananimation cganimation
9072,Dallyeola Hani,TV,sports koreananimation running trackandfield
9073,Fireball Charming,TV,comedy scifi androids episodic non-humanprotagonists robots shortepisodes cganimation originalwork
9074,Keroro,TV,comedy scifi shounen aliens frogs shortepisodes basedonamanga mineyoshizaki
9075,Oda Shinamon Nobunaga,TV,comedy seinen sliceoflife animalprotagonists dogs martialarts non-humanprotagonists reincarnation basedonamanga unamegurogawa
9076,Girl's High Specials,DVD S,seinen schoollife basedonamanga towaoshima
9077,The Grouse in Snow Mountain,Movie,drama mountainclimbing nodialogue shorts originalwork
9078,Kaijuu Step Wandabada,TV,comedy scifi chibi familyfriendly monsters shortepisodes basedonapicturebook
9081,Visions of Frank: Short Films by Japan's Most Audacious Animators,Other,comedy shortepisodes basedonacomicbook
9083,Gatchaman II,TV,action scifi originalwork
9084,Digimon Savers,TV,action adventure fantasy shounen familyfriendly monster-of-the-week monsters
9085,Kiss Dum: Engage Planet,TV,action scifi aliens post-apocalyptic superpowers originalwork
9087,Hedgehogs,Movie,adventure comedy animalprotagonists anthropomorphic chineseanimation familyfriendly non-humanprotagonists
9090,Are wa Dare?,Movie,animalprotagonists familyfriendly non-humanprotagonists shorts
9091,One Piece: Annecy Festival 60th Anniversary,Other,nodialogue promotional
9092,Kiteretsu Daihyakka,TV,comedy scifi familyfriendly basedonamanga fujikof.fujio
9093,Legend of the Millennium Dragon,Movie,adventure dragons feudaljapan japanesemythology originalwork
9094,God Eater Prologue,Other,action fantasy promotional basedonavideogame violence
9095,The Prince of Tennis Mini Theater,DVD S,comedy shounen chibi basedonamanga
9096,Nippon-ichi no Otoko no Tamashii 2,TV,comedy crude shortepisodes basedonamanga
9097,Momon's Sand Witch,Web,comedy schoollife shortepisodes
9099,Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou,TV,comedy sliceoflife breakingthefourthwall parody schoolclub schoollife cganimation
9100,Spookiz Season 3,Web,comedy crude demons episodic familyfriendly koreananimation monsters schoollife shortepisodes supernatural vampires zombies cganimation
9104,Pupipo!,TV,comedy fantasy contemporaryfantasy shortepisodes supernatural basedonamanga rensukeoshikiri
9105,Silent Mobius: The Motion Picture 2,Movie,scifi shounen police post-apocalyptic superpowers basedonamanga
9106,Donkikko,TV,comedy
9107,Utawarerumono Picture Drama,DVD S,comedy fantasy picturedrama
9108,Hitohira,TV,comedy drama seinen schoolclub schoollife basedonamanga idumikirihara
9110,Hello Kitty's Paradise,TV,animalprotagonists anthropomorphic cats familyfriendly non-humanprotagonists sanriocharacters
9112,Meine Liebe Wieder,TV,europe political basedonavisualnovel
9115,Tomorrow from there,Web,sliceoflife japananimator'sexhibition shorts
9116,Seikimatsu Occult Gakuin Specials,DVD S,supernatural originalwork
9117,Mirai Kara Kita Shounen Super Jetter,TV,scifi timetravel originalwork
9119,DNA²,TV,comedy romance scifi shounen timetravel basedonamanga masakazukatsura
9122,e-ma Nodo Ame CM: VTuber,Other,commercials dancing promotional shortepisodes vtubers
9123,Genki!! Ekoda-chan,TV,comedy seinen shortepisodes basedona4-komamanga basedonamanga yukaritakinami
9124,Kisha no Hattatsu,Movie,blackandwhite educational historical nodialogue shorts trains
9125,Toukiden 2,Web,action promotional shortepisodes basedonavideogame
9126,The Disappearance of Nagato Yuki-chan,TV,romance seinen sliceoflife schoollife basedonamanga puyo
9127,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,Other,comedy commercials foodandbeverage promotional shortepisodes
9129,Michel,TV,action adventure fantasy koreananimation thieves
9131,Tai Chi Chasers,TV,action adventure
9132,Mobile Suit Gundam-san (Web),DVD S,comedy mecha scifi chibi parody
9134,Yoligongju Loopy,TV,comedy animalprotagonists anthropomorphic familyfriendly foodandbeverage koreananimation non-humanprotagonists shortepisodes
9135,Ace wo Nerae! Movie,Movie,drama shoujo sports schoollife tennis basedonamanga sumikayamamoto
9137,"Sugar, With a Story",Web,animalprotagonists foodandbeverage foodprotagonists nodialogue non-humanprotagonists shorts stopmotionanimation
9138,To Heart: Remember My Memories,TV,romance androids lovetriangle non-humanprotagonists robots schoollife basedonavisualnovel
9139,Adachi and Shimamura Mini Anime,Web,chibi schoollife shortepisodes basedonalightnovel
9140,Pop Team Epic Specials,DVD S,comedy basedona4-komamanga basedonamanga
9142,Moonlit Night & Opal,Movie,abstract blackandwhite shorts
9143,MTV ULTRAHITS: Wild Cleaner ID,Other,abstract promotional stationidentifications cganimation
9145,Shizunde Iku yo,Web,nodialogue shorts
9147,Kabukibu! Special,DVD S,valentine'sday basedonalightnovel
9151,Space Dandy 2 Picture Drama,DVD S,picturedrama
9152,Keijo!!!!!!!! Specials,DVD S,comedy ecchi shounen sports basedonamanga daichisorayomi
9153,Flash and Dash,TV,action comedy cars chineseanimation familyfriendly racing
9154,The Enchanted Journey,Movie,adventure animalprotagonists familyfriendly non-humanprotagonists
9155,Trickster,TV,mystery animenome detectives originalwork
9156,Kura Sushi,Web,coworkers foodandbeverage promotional restaurants shortepisodes worklife
9158,Miyuki,TV,romance shounen schoollife basedonamanga mitsuruadachi
9159,Nanaka 6/17,TV,comedy romance childhoodfriends schoollife basedonamanga kenyagami
9163,GeGeGe no Kitarou (1968),Movie,blackandwhite japanesemythology supernatural youkai shigerumizuki
9164,"How Clumsy you are, Miss Ueno",TV,comedy ecchi romance crude schoolclub schoollife shortepisodes basedonamanga tugeneko
9166,Seton Doubutsuki: Kuma no Ko Jacky,TV,adventure drama america animalprotagonists bears countryside familyfriendly historical non-humanprotagonists basedonanovel
9167,Magical Girl Site,TV,action fantasy magicalgirl shounen animeism darkfantasy henshinheroes urbanfantasy basedonamanga animalabuse  bullying  maturethemes  physicalabuse  sexualabuse  suicide  violence  domesticabuse  self-harm kentarosato
9168,Morita-san wa Mukuchi TV Specials,DVD S,comedy seinen schoollife basedona4-komamanga basedonamanga
9169,Shampoo Ouji,TV,adventure familyfriendly shortepisodes basedonapicturebook
9171,Gourmet Girl Graffiti,TV,comedy seinen sliceoflife cooking foodandbeverage iyashikei basedona4-komamanga basedonamanga makotokawai
9172,Paul no Miracle Dai Sakusen,TV,adventure fantasy
9174,Meow Meow Japanese History,TV,comedy animalprotagonists anthropomorphic cats educational familyfriendly feudaljapan historical non-humanprotagonists parody shortepisodes basedonamanga kenjisonishi
9176,Bary-san no Imabari-ben Kouza,TV,comedy animalprotagonists non-humanprotagonists shortepisodes
9177,Plus 50000-nen,Other,shorts
9180,Kaiketsu Tamagon,TV,comedy scifi monsters non-humanprotagonists shortepisodes
9181,Gatchaman,TV,action scifi originalwork tatsuoyoshida
9182,Miss Kuroitsu From the Monster Development Department,TV,action comedy scifi seinen monsters worklife basedonamanga nudity hiroakimizusaki
9184,Persona: Trinity Soul,TV,mystery psychicpowers supernatural superpowers basedonavideogame druguse  maturethemes
9186,The Star of Cottonland Special,DVD S,fantasy familyfriendly nodialogue basedonamanga
9188,Chikara Bashi,Movie,familyfriendly shorts
9189,Potecco Babies (2011),Web,comedy shortepisodes
9192,Ninpuu Kamui Gaiden,TV,action adventure historical martialarts ninja samurai basedonamanga
9193,Chaos;Child: Silent Sky,Movie,mystery scifi psychological basedonavisualnovel violence
9195,Wanpaku Ouji no Orochi Taiji,Movie,action adventure fantasy monsters
9196,Transformers: Cybertron,TV,action adventure mecha scifi combiningmecha non-humanprotagonists outerspace robots sentientmecha superrobot transformingmecha war
9197,Anime Tenchou x Touhou Project,Other,crossover
9198,Delinquent Hamsters,Web,comedy animalprotagonists delinquents hamsters non-humanprotagonists shortepisodes flashanimation
9199,Getting dressed,Movie,abstract shorts nudity
9201,Clockwork Planet,TV,action scifi androids non-humanprotagonists robots basedonalightnovel
9202,Shin Obake no Q-Tarou,TV,comedy supernatural basedonamanga
9203,Katana Maidens: Toji no Miko,TV,action monsters schoollife supernatural swordplay originalwork
9204,Overflow,TV,romance borderlineh childhoodfriends shortepisodes siblings basedonamanga explicitsex kaiduka
9205,Chii-Sui Maru,TV,comedy insects shortepisodes originalwork
9206,Stuck Rabbit,Web,comedy animalprotagonists non-humanprotagonists pets rabbits shortepisodes
9208,Akuei to Gacchinpo: Tenkomori,TV,comedy familyfriendly
9210,Shinsetsu Kachikachi Yama,Movie,animalprotagonists anthropomorphic blackandwhite shorts
9212,Touken Ranbu: Hanamaru,TV,fantasy sliceoflife anthropomorphic episodic historical swordplay basedonavideogame
9213,Long Riders!,TV,shounen sports college cycling basedonamanga
9214,Miracle Shoujo Limit-chan,TV,scifi cyborgs superpowers originalwork
9215,Honey-Honey,TV,adventure shoujo historical basedonamanga hidekomizuno
9216,Tenchi in Tokyo Specials,Other,shortepisodes
9218,HameFura: Catarina to Manabou,Web,comedy fantasy chibi shortepisodes basedonalightnovel flashanimation
9222,Flower Witch Mary Bell,TV,magicalgirl familyfriendly henshinheroes magic originalwork
9223,Golgo 13: The Professional,Movie,action seinen assassins guns noir basedonamanga explicitsex  maturethemes  physicalabuse  sexualabuse  suicide  violence takaosaito
9224,MM! Group: SS!,DVD S,comedy ecchi basedonalightnovel
9225,Yamishibai: Japanese Ghost Stories 2nd Season,TV,horror episodic shortepisodes supernatural urbanlegend originalwork
9227,Zenmaiji-kake no Truffe,Web,bears shortepisodes
9229,Ito Koishi,Web,romance nodialogue shorts
9231,Panpaka Pants WO New!,TV,comedy animalprotagonists anthropomorphic non-humanprotagonists pigs shortepisodes
9232,Noobow: Mini Theater,Web,familyfriendly nodialogue shortepisodes
9236,Japan Media Arts Festival 2019 Introduction Animation,Other,abstract nodialogue promotional
9237,Robotica * Robotics,Movie,romance scifi non-humanprotagonists robots shorts
9238,Transformers: The Headmasters,TV,action mecha scifi combiningmecha non-humanprotagonists robots sentientmecha superrobot transformingmecha war
9239,Hikari no Densetsu,TV,romance shoujo sports gymnastics lovetriangle basedonamanga izumiasou
9240,Angel Tales Omake,DVD S,comedy chibi
9242,Super Teukgeup Mazinger 7,Movie,action mecha scifi aliens koreananimation outerspace superrobot
9244,Futakoi,TV,comedy harem romance schoollife originalwork
9246,Ima no Watashi ni Dekiru Koto...,Web,scifi shortepisodes originalwork
9247,Record of Ragnarok Mini Anime,Web,chibi shortepisodes basedonamanga
9248,Tide-Line Blue Special,DVD S,scifi ocean post-apocalyptic originalwork
9249,Dragon Quest Retsuden: Roto no Monshou,Movie,fantasy dragonquest
9251,The [email protected]: Cinderella Girls Theater 2nd Season,TV,sliceoflife chibi idols music shortepisodes
9252,Jushin Riger,TV,action scifi superheroes gonagai
9253,Minamo,Movie,abstract shorts
9255,Wormy,Movie,animalprotagonists insects non-humanprotagonists shorts originalwork
9257,Ghiblies,Other,comedy
9261,My Wife Is the Student Council President! OVA: Okusama Gekijou,DVD S,comedy shounen chibi picturedrama basedonamanga yuminakata
9262,Rumble Garanndoll,TV,action comedy mecha scifi military otakuculture originalwork
9266,Mu Di,Movie,chineseanimation shorts
9267,Toward the Terra,Movie,scifi shounen outerspace psychicpowers superpowers basedonamanga nudity keikotakemiya
9268,Mamotte Shugogetten!,TV,comedy romance shounen magic basedonamanga
9269,Schwarzesmarken,TV,action drama mecha scifi basedonaneroge basedonavisualnovel maturethemes  physicalabuse  sexualabuse  sexualcontent  violence
9270,Matoi the Sacred Slayer,TV,fantasy magicalgirl henshinheroes magic supernatural originalwork
9272,Sacred Seven Movie: Shirogane no Tsubasa,Movie,action scifi superpowers originalwork
9274,Riddle Story of Devil: Who Is the Winner? (Pop Quiz),DVD S,comedy ecchi gl seinen shoujo-ai assassins island basedonamanga yunkouga
9275,Gad Guard,TV,action mecha scifi superpowers originalwork
9276,Macross FB7: Ginga Rukon Ore no Uta wo Kike!,Movie,action mecha scifi aliens idols music transformingmecha studionue
9278,15 Years Old: Starting Today We'll Be Living Together,Other,romance shoujo shortepisodes basedonamanga acomomota
9279,Astroganger,TV,action mecha scifi monster-of-the-week originalwork
9280,Akashic Re:cords OP,Other,openinganimation promotional
9281,Girls und Panzer der Film: 3-pun Chotto de Wakaru!! Girls & Panzer,Other,chibi military militaryschool recap schoolclub schoollife tournaments originalwork
9282,Blood Lad: Kanketsu Kinen PV,Web,shounen promotional vampires basedonamanga
9284,ficfyon7,Movie,abstract psychological shorts stopmotionanimation originalwork
9285,X: The Movie,Movie,action shoujo supernatural superpowers basedonamanga explicitviolence clamp
9286,Companion,Movie,drama chineseanimation christianity nodialogue religion shorts
9288,Pororo the Little Penguin 5,TV,fantasy sliceoflife animalprotagonists anthropomorphic koreananimation non-humanprotagonists shortepisodes cganimation
9290,Norn9,TV,adventure drama mystery romance scifi supernatural superpowers basedonanotomegame basedonavisualnovel
9291,Astro Boy: Shinsengumi,Movie,scifi shounen androids historical non-humanprotagonists robots basedonamanga osamutezuka
9295,In/Spectre Mini Anime,Web,chibi shortepisodes basedonamanga
9296,Zenryoku Usagi,TV,comedy animalprotagonists anthropomorphic episodic familyfriendly non-humanprotagonists rabbits basedonamanga keiikeda
9298,Kumamiko: Girl Meets Bear Specials,DVD S,comedy seinen sliceoflife animalprotagonists bears countryside japanesemythology non-humanprotagonists basedonamanga masumeyoshimoto
9299,Komatta Jii-san,TV,comedy romance sliceoflife adultcouples aging marriedlife matureromance shortepisodes basedonamanga
9301,Fight Ippatsu! Juuden-Chan!!,TV,comedy ecchi scifi seinen pantyshots basedonamanga nudity bowditama
9303,Mr. Deniroo in Henteko Mushi,Other,comedy familyfriendly stopmotionanimation
9305,Ninja Bugei-chou Pilot,Other,action blackandwhite ninja shorts basedonamanga
9308,Digimon Universe: Appli Monsters,TV,action scifi shounen monsters basedonavideogame
9309,Hato Poppoppo,Web,animalprotagonists birds non-humanprotagonists shortepisodes
9310,Sleepy,Movie,shorts
9311,Chiisana Kyojin Microman: Daigekisen! Microman vs Saikyou Senshi Gorgon,Movie,scifi
9312,Bakuto Sengen Daigander,TV,action mecha scifi proxybattles tournaments originalwork
9314,"Junji Ito ""Collection"": Tomie",DVD S,drama horror josei supernatural basedonamanga violence junjiito
9315,Lemon Angel Project,TV,drama idols music
9316,Kangaeru Jikan,Other,shorts originalwork
9318,Space Shower TV: Space Shower Man - Legacy for the Future ID,Other,promotional stationidentifications cganimation
9319,Nadia: Secret of the Blue Water Specials,DVD S,comedy chibi historical
9321,China KFC x Gintama,Other,comedy commercials
9322,Daphne in the Brilliant Blue Specials,DVD S,action ecchi originalwork
9323,Kizuna Ichigeki,Movie,action comedy animetamago martialarts shorts originalwork
9325,Tabi wa Michizure Yo wa Nasake,Movie,action comedy shorts
9326,Ari to Kaeru,Movie,blackandwhite shorts
9327,Panpaka Pants O New-san,TV,comedy animalprotagonists anthropomorphic non-humanprotagonists pigs shortepisodes flashanimation
9333,Arata the Legend,TV,adventure fantasy shounen isekai personinastrangeworld basedonamanga yuuwatase
9334,Sunset Flower Blooming,Movie,aging historical nodialogue shorts
9335,Battle Spirits: Brave,TV,timetravel basedonacardgame
9336,Legend of the Forest,Movie,animalprotagonists environmental forest non-humanprotagonists shorts originalwork
9337,Mobile Suit Gundam AGE,TV,mecha scifi originalwork
9339,Ultramarine Magmell,TV,action adventure comedy fantasy shounen episodic island superpowers basedonamanga dainenbyou
9341,Umihiko Yamahiko,Movie,familyfriendly shorts stopmotionanimation
9342,CLIMBER,Movie,abstract blackandwhite nodialogue shorts
9343,Beotkkotnamu Kokkiri Sup,Movie,abstract nodialogue shorts
9345,Yao Jing Zhong Zhi Shou Ce,Web,action adventure drama fantasy chineseanimation personinastrangeworld basedonamanga
9346,Cyborg 009: Legend of the Super Galaxy,Movie,action scifi shounen cyborgs superheroes basedonamanga shotaroishinomori
9349,Goman-hiki,TV,blackandwhite shortepisodes
9351,The Three Musketeers,TV,adventure historical basedonanovel
9352,Panda! Go Panda! Rainy Day Circus,Movie,animalprotagonists bears familyfriendly non-humanprotagonists pandas originalwork
9354,Sentai Hero Sukiyaki Force,TV,comedy foodandbeverage promotional sentai shortepisodes superheroes tokusatsu tourism originalwork
9355,Sound! Euphonium 2 Specials,DVD S,comedy music schoolclub schoollife basedonanovel
9358,Fushigi na Somera-chan Special,DVD S,comedy seinen basedona4-komamanga basedonamanga choboraunyopomi
9360,Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,Movie,action adventure scifi shounen monsters proxybattles basedonamanga
9362,The Highschool Life of a Fudanshi Special,DVD S,shoujo sports fudanshi otakuculture schoollife basedonamanga atamimichinoku
9363,GeGeGe no Kitarou: Chisougan,Movie,japanesemythology supernatural youkai shigerumizuki
9364,Shounen Sunday CM: InuYasha,Other,commercials promotional shortepisodes basedonamanga rumikotakahashi
9367,Kaeru no Pickles: Kimochi no Iro,TV,familyfriendly frogs shortepisodes originalwork
9368,"Blue Archive: Trinity no Natsu, Gehenna no Natsu. PV",Web,promotional basedonamobilegame
9372,Blassreiter,TV,action scifi demons europe germany motorcycles racing originalwork
9373,Wakaokami wa Shougakusei!,TV,familyfriendly familylife hotelsandinns lifestylechange orphans shortepisodes supernatural basedonalightnovel
9374,Samurai Bride Specials,DVD S,comedy ecchi feudaljapan pantyshots nudity  sexualcontent
9376,Digimon Xros Wars,TV,action adventure scifi shounen familyfriendly monster-of-the-week monsters
9377,Rilakkuma: Ohanabatake no Chiisana Kousagi,Web,animalprotagonists bears nodialogue non-humanprotagonists promotional rabbits san-xcharacters shorts
9378,Rilakkuma: Korilakkuma no Yancha na Mainichi,Web,animalprotagonists bears nodialogue non-humanprotagonists promotional san-xcharacters shorts
9379,Sonic Soldier Borgman,TV,action scifi monster-of-the-week superheroes originalwork
9381,By Your Side,Other,shorts stopmotionanimation
9383,HENNEKO - The Hentai Prince and the Stony Cat Specials,DVD S,comedy promotional basedonalightnovel
9386,Uchuusen Sagittarius,TV,adventure comedy scifi anthropomorphic astronauts outerspace basedonacomicbook
9390,Sakuran Boy DT,TV,comedy shortepisodes superheroes originalwork
9391,Pokemon: Pikachu and Pichu,Movie,fantasy animalprotagonists familyfriendly monsters non-humanprotagonists shorts basedonavideogame
9392,Tottoi,Movie,sliceoflife familyfriendly lifestylechange
9393,Tamagotchi! Tamatomo Daishuu GO,TV,fantasy sliceoflife familyfriendly
9395,Examurai Sengoku,TV,action adventure martialarts
9396,All Purpose Cultural Cat Nuku Nuku Special 2,DVD S,seinen basedonamanga
9397,Needless: The Secret of Saint Lily Academy,DVD S,comedy ecchi seinen crossdressing pantyshots parody schoollife basedonamanga nudity kamiimai
9399,Way back to the Sea,Movie,shorts
9401,Iketeru Futari,TV,comedy ecchi seinen pantyshots shortepisodes basedonamanga nudity  sexualcontent takashisano
9402,Beast Wars II Chou Seimeitai Transformers Movie,Movie,action mecha scifi non-humanprotagonists robots sentientmecha superrobot transformingmecha war
9403,Great Mazinger vs Getter Robo,Movie,action mecha scifi combiningmecha crossover superrobot
