Rank,Name,Type,Tags
81,Given Movie,Movie,bl drama romance shounen-ai adultcouples codependency lovetriangle matureromance music basedonamanga emotionalabuse  maturethemes  physicalabuse  sexualabuse  sexualcontent natsukikizu
82,Mushishi Zoku Shou,TV,fantasy seinen episodic iyashikei supernatural basedonamanga yukiurushibara
83,Princess Mononoke,Movie,action adventure fantasy curse environmental feudaljapan forest japanesemythology royalty originalwork
84,Kuroko's Basketball 3,TV,shounen sports basketball schoolclub tournaments basedonamanga tadatoshifujimaki
86,Haikyuu!! Movie 4: Battle of Concepts,Movie,shounen sports recap schoolclub tournaments volleyball basedonamanga haruichifurudate
87,Dr. Stone,TV,adventure comedy scifi shounen personinastrangeworld post-apocalyptic prehistoric survival basedonamanga riichiroinagaki
89,Horimiya,TV,comedy romance shounen romanticcomedy schoollife basedonamanga hero
90,Cowboy Bebop,TV,action adventure drama scifi bountyhunters episodic noir outerspace western originalwork druguse  maturethemes  nudity  violence sunrise
91,Hotarubi no Mori e,Movie,drama romance shoujo comingofage forest japanesemythology loneliness melancholy supernatural youkai basedonamanga yukimidorikawa
92,The Disastrous Life of Saiki K. 2nd Season,TV,comedy shounen sliceoflife breakingthefourthwall gag psychicpowers schoollife supernatural superpowers basedonamanga shuichiasou
93,Monogatari Series: Second Season,TV,action comedy drama ecchi mystery romance supernatural tsundere basedonalightnovel explicitviolence nisioisin
94,Castlevania Season 4,Web,action adventure drama horror 15thcentury europe historical magic medieval supernatural vampires basedonavideogame animalabuse  explicitviolence  maturethemes  suicide
95,Doukyuusei,Movie,bl drama romance shounen-ai all-boysschool lgbtthemes oppositesattract schoollife basedonamanga asumikonakamura
96,ERASED,TV,drama mystery seinen agetransformation crime deathofalovedone dysfunctionalfamilies melancholy noitamina serialkillers supernatural thriller timetravel basedonamanga animalabuse  maturethemes  physicalabuse  domesticabuse keisanbe
97,The Rising of the Shield Hero,TV,action adventure drama fantasy seinen animalcharacteristics betrayal darkfantasy demons framedforacrime isekai monsters personinastrangeworld rpg summonedintoanotherworld basedonalightnovel violence yusagianeko
98,To Your Eternity,TV,adventure drama fantasy shounen animaltransformation melancholy non-humanprotagonists supernatural survival basedonamanga violence yoshitokiooima
99,Hajime no Ippo: Rising,TV,action drama shounen sports boxing handtohandcombat basedonamanga georgemorikawa
100,"Josee, the Tiger and the Fish",Movie,drama romance disability basedonanovel seikotanabe
101,Made in Abyss,TV,adventure drama fantasy mystery scifi seinen androids curse darkfantasy melancholy non-humanprotagonists orphans outsideworld psychological robots basedonamanga explicitviolence akihitotsukushi
103,Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,drama josei adultcouples animeism apprenticeship historical rakugo basedonamanga harukokumota
104,Haikyuu!! Movie 3: Talent and Sense,Movie,shounen sports recap schoolclub schoollife tournaments volleyball basedonamanga haruichifurudate
